STATIONSKENNUNG,STATIONSNAME,STATIONS_ID,MaxvonGERAETETYP_NAME,MinvonVON_DATUM,GEOGR_BREITE,GEOGR_LAENGE,STATIONSHOEHE,Niederschlag 1 Min,Schnee manuell,Wind 10 Min,Temperatur und Feuchte 2 m 10 Min,Sonne 10 Min,Erdbodentemperaturen Standard 10 Min,HEADING_BUFR1,HEADING_BUFR2,HEADING_BUFR3,HEADING_BUFR4,HEADING_BUFR5,HEADING_BUFR6,HEADING_BUFR7
M565,Bobeck,550,AMDA III / N,01-Nov-02,50.904081,11.798477,344.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M620,Kleiner Inselsberg,2618,AMDA III / S,01-Oct-04,50.845847,10.480262,732.0,1,1,,1,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M640,Drei Gleichen-Mühlberg,3364,MODES III N,01-Jul-04,50.868082,10.821072,286.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M651,Ilmtal-Dienstedt,962,AMDA III / N,01-May-04,50.801787,11.169196,325.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M669,Uhlstädt-Kirchhasel-Niederkrossen,6268,MODES III N,01-Nov-02,50.757711,11.517819,172.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M691,Harth-Pöllnitz Neundorf,5395,MODES III N,01-Nov-06,50.767557,11.980954,340.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M700,Geisa,1573,MODES III N,01-Jan-06,50.713361,9.953924,280.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M732,Martinroda,3204,MODES III S,01-Jul-08,50.733449,10.881535,427.0,3,3,,3,3,3,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M756,Schwarzburg,4605,AMDA III / S,01-Nov-04,50.644023,11.193651,277.0,1,1,,1,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M765,Krölpa-Rockendorf,13711,MODES III S,01-Dec-07,50.681945,11.515013,289.0,3,3,3,3,3,,ISMD39 AMDS,ISID39 AMDS,ISND39 AMDS,ISXD39 AMDS,ISAD39 AMDS,ISHD39 AMDS,ISGD39 AMDS
M772,Schmieritz-Weltwitz,3289,AMDA III / S,01-Nov-04,50.728112,11.783770,355.0,1,1,,1,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M799,Langenwetzendorf-Göttendorf,7419,AMDA III / S,01-Dec-06,50.661008,12.075595,389.0,1,1,,1,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M805,Birx/Rhön,1411,MODES III S,01-Jan-07,50.530884,10.048014,745.0,2,2,,2,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M833,Frauenwald,1435,MODES III N,01-Nov-02,50.592106,10.857519,768.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M834,Schleusingen,4469,MODES III N,01-Aug-06,50.507059,10.761980,399.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M846,Katzhütte,2541,AMDA III / N,01-Nov-02,50.546736,11.031697,462.0,1,,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M879,Remptendorf,2992,MODES III N,01-Nov-04,50.527594,11.660436,495.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M909,Römhild-Sülzdorf,6270,MODES III N,01-Sep-04,50.409841,10.490162,330.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M927,Veilsdorf,7428,MODES III S,01-May-07,50.416704,10.815633,397.0,2,2,,2,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M938,Frankenblick-Mengersgereuth-Hämmern,3248,AMDA III / N,01-Apr-07,50.390372,11.132365,508.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M945,Judenbach-Neuenbau,3491,MODES III N,01-Jun-04,50.440967,11.240063,738.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M965,"Lobenstein, Bad",3034,AMDA III / S,01-Jan-07,50.450515,11.634967,500.0,3,3,,3,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
M978,Hirschberg,2233,MODES III N,01-Aug-04,50.404020,11.819321,446.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
M998,Neuhaus-Schierschnitz,7421,AMDA III / N,01-Dec-06,50.325031,11.239505,383.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N104,Diesdorf,966,AMDA III / N,01-Feb-06,52.752147,10.883042,65.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N135,Winterfeld-Sallenthin,5614,AMDA III / N,01-Sep-04,52.758220,11.254905,235.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N158,Ballerstedt,7372,AMDA III / N,01-Oct-06,52.732061,11.712362,35.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N182,Schwarzholz,4618,AMDA III / N,01-Nov-04,52.747017,11.979180,30.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N199,Schollene,4555,MODES III N,01-Oct-06,52.662966,12.181243,29.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N214,Köckte,2662,MODES III N,01-Dec-06,52.523275,11.128908,59.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N268,Grieben,1770,MODES III N,01-Oct-06,52.423322,11.965960,38.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N272,Demker,6273,MODES III S,01-Jun-04,52.507485,11.855089,36.0,2,2,,2,,2,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
N305,Bösdorf,7285,MODES III N,01-Aug-05,52.415269,11.075762,68.0,3,3,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N315,Born,622,MODES III N,01-Jun-06,52.374468,11.465476,66.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N345,Zielitz,874,MODES III N,01-Aug-05,52.299428,11.673310,52.0,3,3,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N366,Burg-Blumenthal,797,MODES III N,01-Aug-05,52.319809,11.833080,39.0,3,3,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N398,Drewitz bei Burg,1052,MODES III S,01-Jul-04,52.217417,12.164088,80.0,2,2,,2,,2,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
N426,Weißenfels-Wengelsdorf,1847,MODES III N,01-Apr-08,51.274324,12.051727,92.0,3,3,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N435,Bottmersdorf-Klein Germersleben,630,MODES III N,01-Jun-06,52.019434,11.405474,83.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N440,Schackensleben,4412,AMDA III / N,01-Nov-04,52.197954,11.421824,95.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N463,Königsborn,2673,MODES III N,01-Aug-07,52.133024,11.775716,52.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N500,Osterwieck-Rimbeck,775,MODES III N,01-Oct-04,52.000032,10.632293,100.0,2,,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N511,Sargstedt,213,MODES III N,01-May-07,51.937541,10.989739,170.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N520,Huy-Pabstorf,6266,MODES III S,01-Sep-04,52.030421,10.962603,112.0,4,4,,4,,4,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
N532,Hecklingen-Groß Börnecke,1793,AMDA III / N,01-Aug-06,51.880550,11.464968,104.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N543,Walternienburg-Ronney,287,AMDA III / N,01-May-08,51.961085,11.915881,52.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N548,Bernburg/Saale (Nord),445,AMDA III / S,01-Jul-05,51.821767,11.710944,84.0,1,1,,1,1,1,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
N553,Badewitz bei Zerbst,7500,AMDA III / N,01-Jan-07,52.022318,12.159693,82.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N563,Düben,1067,AMDA III / N,01-Oct-04,51.926452,12.385627,95.0,1,,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N566,Jeßnitz,7364,MODES III S,01-Jan-07,51.681979,12.304244,74.0,2,2,,2,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
N587,Naundorf bei Seyda,3445,AMDA III / N,01-Nov-04,51.924460,12.888831,100.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N601,Wernigerode-Schierke,4445,MODES III S,01-Sep-04,51.765838,10.653280,609.0,2,2,,2,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
N616,Oberharz am Brocken-Stiege,4878,MODES III S,01-Feb-05,51.664645,10.881071,504.0,2,2,,2,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
N620,Quedlinburg,4032,MODES III S,01-Dec-06,51.795344,11.131995,142.0,5,5,5,5,5,5,ISMD39 AMDS,ISID39 AMDS,ISND39 AMDS,ISXD39 AMDS,ISAD39 AMDS,ISHD39 AMDS,ISGD39 AMDS
N632,Aschersleben-Mehringen,3226,MODES III S,01-Aug-06,51.725946,11.510942,107.0,3,3,,3,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
N652,Köthen (Anhalt),2704,MODES III S,01-May-04,51.751052,12.009371,76.0,2,2,,2,,2,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
N671,Kemberg-Radis,4052,AMDA III / N,01-Dec-07,51.755573,12.510311,94.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N714,Südharz-Dietersdorf,974,AMDA III / N,01-Sep-06,51.530667,11.045651,440.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N731,Mansfeld-Annarode,5814,AMDA III / N,01-Sep-06,51.550413,11.402970,321.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N748,Querfurt-Mühle Lodersleben,4036,MODES III S,01-Mar-07,51.389498,11.541221,204.0,2,2,2,2,,2,ISMD39 AMDS,ISID39 AMDS,ISND39 AMDS,ISXD39 AMDS,ISAD39 AMDS,ISHD39 AMDS,ISGD39 AMDS
N750,Seegebiet Mansfelder Land-Dederstedt,815,AMDA III / N,01-Nov-06,51.542654,11.694789,154.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N769,"Lauchstädt, Bad",2878,MODES III S,01-Aug-17,51.391016,11.878834,118.0,1,1,1,1,1,1,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
N815,"Bibra, Bad-Altenroda",124,MODES III N,01-Nov-06,51.238782,11.577004,265.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N855,Freyburg/Unstrut-Zeuchfeld,5763,AMDA III / N,01-Feb-05,51.237986,11.829583,140.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
N924,Naumburg/Saale-Kreipitzsch,7420,AMDA III / S,01-Apr-07,51.104390,11.711157,246.0,1,,,1,1,1,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
N977,Zeitz,5750,MODES III S,01-Mar-06,51.031411,12.149490,264.0,3,3,,3,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O025,"Muskau, Bad",3426,MODES III S,01-Jun-04,51.566020,14.700855,125.0,3,,,3,3,3,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O039,Schönwölkau-Brinnis,721,AMDA III / N,01-Jun-04,51.516799,12.435627,101.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O057,Klitzschen bei Torgau,2641,MODES III S,01-Sep-04,51.518534,12.906500,85.0,2,2,,2,,2,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O099,Hähnichen-Trebus,7423,MODES III N,01-Apr-07,51.344342,14.838671,163.0,3,3,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O120,Eilenburg,1166,AMDA III / N,01-Sep-04,51.460108,12.669193,105.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O141,Belgershain,7323,AMDA III / N,01-Jan-06,51.235936,12.551653,150.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O182,Boxberg,633,MODES III N,01-Jun-04,51.404069,14.568153,125.0,3,3,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O204,Markranstädt-Großlehna,1848,AMDA III / N,01-Nov-06,51.309021,12.171771,118.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O248,Heyda bei Riesa,7334,AMDA III / N,01-Mar-06,51.265136,13.358894,132.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O251,Strauch,7335,AMDA III / N,01-Feb-06,51.365756,13.580054,128.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O268,Schönteichen-Cunnersdorf,3094,MODES III N,01-Nov-06,51.312232,14.049895,166.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O305,Pegau,13688,AMDA III / N,01-Mar-08,51.169338,12.261761,128.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O322,Grimma-Kleinbothen,7326,AMDA III / N,01-Jan-06,51.191822,12.764537,134.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O348,Garsebach bei Meißen,3234,MODES III S,01-Feb-05,51.129352,13.432686,157.0,2,2,,2,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O384,"Kubschütz, Kr. Bautzen",314,MODES III S,01-May-04,51.160355,14.504209,232.0,2,2,,2,,2,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O457,Dresden-Strehlen,1051,MODES III S,01-Mar-07,51.024829,13.774985,120.0,2,2,,2,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O458,Dresden-Hosterwitz,1050,MODES III S,01-Apr-06,51.022075,13.847042,114.0,5,,,5,5,5,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O461,Pulsnitz,4023,MODES III N,01-Apr-10,51.200650,14.020697,270.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O484,Sohland/Spree,6129,MODES III S,01-Nov-04,51.059341,14.426610,290.0,2,2,,2,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O499,Ostritz,2958,MODES III N,01-Oct-04,51.026643,14.935608,213.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O510,Geringswalde-Altgeringswalde,131,MODES III S,01-Nov-04,51.088055,12.932614,296.0,2,2,,2,2,2,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O536,Nossen,6314,AMDA III / S,01-Aug-05,51.050689,13.300267,308.0,3,3,3,3,3,3,ISMD39 AMDS,ISID39 AMDS,ISND39 AMDS,ISXD39 AMDS,ISAD39 AMDS,ISHD39 AMDS,ISGD39 AMDS
O538,Freiberg,1441,MODES III N,01-Apr-15,50.926306,13.271085,416.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O543,Wilsdruff-Mohorn,13654,AMDA III / N,01-Aug-07,51.006309,13.471027,288.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O566,Lohmen/Sachsen,3740,MODES III N,01-Apr-08,50.993298,13.980756,195.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O580,Dürrhennersdorf,7337,MODES III N,01-Apr-07,51.057672,14.612812,332.0,3,3,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O598,Bertsdorf-Hörnitz,2252,MODES III S,01-Jul-05,50.899046,14.745653,270.0,3,3,3,3,3,3,ISMD39 AMDS,ISID39 AMDS,ISND39 AMDS,ISXD39 AMDS,ISAD39 AMDS,ISHD39 AMDS,ISGD39 AMDS
O625,Frankenberg-Altenhain,7327,AMDA III / N,01-May-07,50.883643,13.042472,326.0,3,3,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O660,Dippoldiswalde-Reinberg,991,MODES III S,01-Feb-05,50.911655,13.708701,365.0,2,2,,2,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O708,Crimmitschau-Mannichswalde,13774,AMDA III / N,01-Jun-08,50.813762,12.298534,327.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O725,Sankt Egidien-Kuhschnappel,7418,AMDA III / N,01-Jun-08,50.801951,12.636583,321.0,2,2,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O795,Rosenthal-Bielatal,5943,MODES III N,01-Jan-07,50.837726,14.071892,460.0,4,4,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O805,Lichtentanne,5797,MODES III S,01-Dec-05,50.687847,12.432932,353.0,2,2,2,2,,,ISMD39 AMDS,ISID39 AMDS,ISND39 AMDS,ISXD39 AMDS,ISAD39 AMDS,ISHD39 AMDS,ISGD39 AMDS
O842,Deutschneudorf-Brüderwiese,7343,MODES III S,01-Apr-06,50.619911,13.481591,688.0,2,2,,2,,,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O846,Marienberg-Rübenau,7333,MODES III N,01-Jul-06,50.580336,13.296622,727.0,3,3,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O863,Aue,222,MODES III S,01-Jul-08,50.590707,12.714005,387.0,2,2,,2,,2,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O868,Treuen,7329,AMDA III / S,01-Nov-05,50.546700,12.286300,465.0,1,1,,1,1,1,ISMD31 AMDS,ISID31 AMDS,ISND31 AMDS,ISXD31 AMDS,ISAD31 AMDS,ISHD31 AMDS,ISGD31 AMDS
O877,Stützengrün-Hundshübel,2372,AMDA III / N,01-May-07,50.546611,12.570627,604.0,3,3,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O882,Tannenberg,4982,AMDA III / N,01-Nov-04,50.607392,12.938954,532.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
O888,Raschau,3175,AMDA III / N,01-Nov-06,50.521942,12.828233,504.0,1,1,,,,,ISMD81 AMDN,ISID81 AMDN,ISND81 AMDN,ISXD81 AMDN,ISAD81 AMDN,ISHD81 AMDN,ISGD81 AMDN
