STATIONSKENNUNG,STATIONSNAME,STATIONS_ID,MaxvonGERAETETYP_NAME,MinvonVON_DATUM,GEOGR_BREITE,GEOGR_LAENGE,STATIONSHOEHE,Niederschlag 1 Min,Schnee manuell,Wind 10 Min,Temperatur und Feuchte 2 m 10 Min,Sonne 10 Min,Erdbodentemperaturen Standard 10 Min,HEADING_BUFR1,HEADING_BUFR2,HEADING_BUFR3,HEADING_BUFR4,HEADING_BUFR5,HEADING_BUFR6,HEADING_BUFR7
H606,Heinsberg-Schleiden,2110,MODES III S,01-Jan-03,51.041072,6.104239,57.0,3,3,,3,,,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H612,Reichshof-Eckenhagen,4127,AMDA III / S,01-Jan-05,50.990636,7.695847,350.0,2,2,,2,2,2,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H635,Dormagen-Zons,1024,AMDA III / N,01-Aug-06,51.115746,6.850995,37.0,1,1,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H641,Solingen-Hohenscheid,4741,MODES III N,01-Dec-04,51.140245,7.092982,154.0,2,2,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H655,Wipperfürth-Gardeweg,5619,AMDA III / N,01-Dec-04,51.163643,7.423430,360.0,1,1,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H658,Meinerzhagen-Redlendorf,13713,AMDA III / S,01-Nov-07,51.089856,7.628970,380.0,1,1,,1,,,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H669,Attendorn-Neulisternohl,216,AMDA III / N,01-Oct-04,51.114277,7.880705,298.0,1,1,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H678,Lennestadt-Theten,2947,AMDA III / S,01-Oct-06,51.133253,8.034831,286.0,1,1,,1,1,1,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H681,Schmallenberg-Sellinghausen,4488,AMDA III / N,01-Aug-06,51.212731,8.267235,443.0,1,,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H695,Medebach-Berge,3215,AMDA III / N,01-Jun-07,51.168307,8.712524,375.0,1,1,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H718,Jülich (Kläranlage),2473,MODES III N,01-Dec-04,50.931629,6.343119,76.0,2,2,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H721,Bedburg-Weiler Hohenholz,7378,AMDA III / N,01-Jul-06,51.014895,6.517327,101.0,1,1,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H744,Köln-Stammheim,2968,AMDA III / S,01-Dec-08,50.989428,6.977688,43.0,2,,,2,,,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H755,Overath-Böke,13671,AMDA III / N,14-Nov-07,50.965511,7.275302,221.0,1,,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H768,Mönchengladbach-Hilderath,3321,AMDA III / S,01-Jul-05,51.131259,6.360864,76.5,2,2,2,,2,,ISMD39 AMDS,ISID39 AMDS,ISND39 AMDS,ISXD39 AMDS,ISAD39 AMDS,ISHD39 AMDS,ISGD39 AMDS
H777,Wenden-Dörnscheid,5468,AMDA III / N,01-Jul-06,50.937708,7.847479,418.0,1,,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H791,"Berleburg, Bad-Arfeld",389,MODES III N,01-Nov-09,51.014835,8.431837,436.0,2,2,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H795,"Berleburg, Bad-Stünzel",390,MODES III S,01-Jul-04,50.983713,8.368331,610.0,2,2,,2,,,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H827,Nideggen-Schmidt,3591,AMDA III / S,01-Jun-04,50.674261,6.423998,350.0,4,4,,4,,,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H862,Neunkirchen-Seelscheid-Krawinkel,3540,AMDA III / S,01-Nov-04,50.844636,7.371973,195.0,3,3,,3,3,3,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H884,Birkelbach,7416,AMDA III / W,11-Sep-08,51.011235,8.273261,540.5,,,2,,2,,ISMD74 AMDW,ISID74 AMDW,ISND74 AMDW,ISXD74 AMDW,ISAD74 AMDW,ISHD74 AMDW,ISGD74 AMDW
H889,Burbach-Würgendorf,796,MODES III N,01-Nov-04,50.755625,8.125709,413.0,2,2,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H908,Monschau-Kalterherberg,3339,AMDA III / N,01-Sep-06,50.520189,6.208270,535.0,1,1,,,,,ISMD84 AMDN,ISID84 AMDN,ISND84 AMDN,ISXD84 AMDN,ISAD84 AMDN,ISHD84 AMDN,ISGD84 AMDN
H932,Weilerswist-Lommersum,1327,AMDA III / S,01-Aug-04,50.711886,6.790489,147.0,1,1,,1,1,,ISMD34 AMDS,ISID34 AMDS,ISND34 AMDS,ISXD34 AMDS,ISAD34 AMDS,ISHD34 AMDS,ISGD34 AMDS
H981,Kall-Sistig,2497,MODES III S,01-Aug-04,50.501410,6.526408,505.0,4,4,4,4,4,4,ISMD39 AMDS,ISID39 AMDS,ISND39 AMDS,ISXD39 AMDS,ISAD39 AMDS,ISHD39 AMDS,ISGD39 AMDS
J702,Perl-Nennig,3904,AMDA III / S,27-Feb-12,49.535353,6.378874,152.0,1,1,,1,1,1,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
